DateRep,CountryExp,CountryCode,Source,ConfCases
2022-05-21,Hungary,HU,TESSy,0
2022-05-21,Iceland,IS,EI,0
2022-05-21,Ireland,IE,TESSy,0
2022-05-21,Italy,IT,TESSy,0
2022-05-21,Latvia,LV,TESSy,0
2022-05-21,Luxembourg,LU,EI,0
2022-05-21,Malta,MT,TESSy,0
2022-05-21,Netherlands,NL,EI,0
2022-05-21,Norway,NO,TESSy,0
2022-05-21,Poland,PL,TESSy,0
2022-05-21,Portugal,PT,EI,0
2022-05-21,Romania,RO,TESSy,0
2022-05-21,Slovenia,SI,TESSy,0
2022-05-21,Spain,ES,TESSy,15
2022-05-21,Sweden,SE,TESSy,0
2022-05-22,Austria,AT,EI,0
2022-05-22,Belgium,BE,TESSy,0
2022-05-22,Czechia,CZ,TESSy,0
2022-05-22,Denmark,DK,EI,0
2022-05-22,Finland,FI,EI,0
2022-05-22,France,FR,EI,0
2022-05-22,Germany,DE,EI,0
2022-05-22,Greece,EL,TESSy,0
2022-05-22,Hungary,HU,TESSy,0
2022-05-22,Iceland,IS,EI,0
2022-05-22,Ireland,IE,TESSy,0
2022-05-22,Italy,IT,TESSy,0
2022-05-22,Latvia,LV,TESSy,0
2022-05-22,Luxembourg,LU,EI,0
2022-05-22,Malta,MT,TESSy,0
2022-05-22,Netherlands,NL,EI,0
2022-05-22,Norway,NO,TESSy,0
2022-05-22,Poland,PL,TESSy,0
2022-05-22,Portugal,PT,EI,0
2022-05-22,Romania,RO,TESSy,0
2022-05-22,Slovenia,SI,TESSy,0
2022-05-22,Spain,ES,TESSy,17
2022-05-22,Sweden,SE,TESSy,0
2022-05-23,Austria,AT,EI,1
2022-05-23,Belgium,BE,TESSy,2
2022-05-23,Czechia,CZ,TESSy,0
2022-05-23,Denmark,DK,EI,1
2022-05-23,Finland,FI,EI,0
2022-05-23,France,FR,EI,2
2022-05-23,Germany,DE,EI,0
2022-05-23,Greece,EL,TESSy,1
2022-05-23,Hungary,HU,TESSy,0
2022-05-23,Iceland,IS,EI,0
2022-05-23,Ireland,IE,TESSy,0
2022-05-23,Italy,IT,TESSy,1
2022-05-23,Latvia,LV,TESSy,0
2022-05-23,Luxembourg,LU,EI,0
2022-05-23,Malta,MT,TESSy,0
2022-05-23,Netherlands,NL,EI,5
2022-05-23,Norway,NO,TESSy,0
2022-05-23,Poland,PL,TESSy,0
2022-05-23,Portugal,PT,EI,14
2022-05-23,Romania,RO,TESSy,0
2022-05-23,Slovenia,SI,TESSy,0
2022-05-23,Spain,ES,TESSy,12
2022-05-23,Sweden,SE,TESSy,0
2022-05-24,Austria,AT,EI,0
2022-05-24,Belgium,BE,TESSy,1
2022-05-24,Czechia,CZ,TESSy,0
2022-05-24,Denmark,DK,EI,1
2022-05-24,Finland,FI,EI,0
2022-05-24,France,FR,EI,2
2022-05-24,Germany,DE,EI,3
2022-05-24,Greece,EL,TESSy,0
2022-05-24,Hungary,HU,TESSy,0
2022-05-24,Iceland,IS,EI,0
2022-05-24,Ireland,IE,TESSy,0
2022-05-24,Italy,IT,TESSy,1
2022-05-24,Latvia,LV,TESSy,0
2022-05-24,Luxembourg,LU,EI,0
2022-05-24,Malta,MT,TESSy,0
2022-05-24,Netherlands,NL,EI,0
2022-05-24,Norway,NO,TESSy,0
2022-05-24,Poland,PL,TESSy,0
2022-05-24,Portugal,PT,EI,0
2022-05-24,Romania,RO,TESSy,0
2022-05-24,Slovenia,SI,TESSy,0
2022-05-24,Spain,ES,TESSy,11
2022-05-24,Sweden,SE,TESSy,1
2022-05-25,Austria,AT,EI,0
2022-05-25,Belgium,BE,TESSy,3
2022-05-25,Czechia,CZ,TESSy,0
2022-05-25,Denmark,DK,EI,0
2022-05-25,Finland,FI,EI,0
2022-05-25,France,FR,EI,2
2022-05-25,Germany,DE,EI,0
2022-05-25,Greece,EL,TESSy,0
2022-05-25,Hungary,HU,TESSy,0
2022-05-25,Iceland,IS,EI,0
2022-05-25,Ireland,IE,TESSy,0
2022-05-25,Italy,IT,TESSy,8
2022-05-25,Latvia,LV,TESSy,0
2022-05-25,Luxembourg,LU,EI,0
2022-05-25,Malta,MT,TESSy,1
2022-05-25,Netherlands,NL,EI,6
2022-05-25,Norway,NO,TESSy,0
2022-05-25,Poland,PL,TESSy,0
2022-05-25,Portugal,PT,EI,0
2022-05-25,Romania,RO,TESSy,0
2022-05-25,Slovenia,SI,TESSy,1
2022-05-25,Spain,ES,TESSy,19
2022-05-25,Sweden,SE,TESSy,1
2022-05-26,Austria,AT,EI,0
2022-05-26,Belgium,BE,TESSy,0
2022-05-26,Czechia,CZ,TESSy,0
2022-05-26,Denmark,DK,EI,0
2022-05-26,Finland,FI,EI,0
2022-05-26,France,FR,EI,0
2022-05-26,Germany,DE,EI,0
2022-05-26,Greece,EL,TESSy,0
2022-05-26,Hungary,HU,TESSy,1
2022-05-26,Iceland,IS,EI,0
2022-05-26,Ireland,IE,TESSy,0
2022-05-26,Italy,IT,TESSy,0
2022-05-26,Latvia,LV,TESSy,0
2022-05-26,Luxembourg,LU,EI,0
2022-05-26,Malta,MT,TESSy,0
2022-05-26,Netherlands,NL,EI,0
2022-05-26,Norway,NO,TESSy,0
2022-05-26,Poland,PL,TESSy,0
2022-05-26,Portugal,PT,EI,21
2022-05-26,Romania,RO,TESSy,0
2022-05-26,Slovenia,SI,TESSy,1
2022-05-26,Spain,ES,TESSy,13
2022-05-26,Sweden,SE,TESSy,0
2022-05-27,Austria,AT,EI,0
2022-05-27,Belgium,BE,TESSy,4
2022-05-27,Czechia,CZ,TESSy,0
2022-05-27,Denmark,DK,EI,0
2022-05-27,Finland,FI,EI,0
2022-05-27,France,FR,EI,0
2022-05-27,Germany,DE,EI,11
2022-05-27,Greece,EL,TESSy,0
2022-05-27,Hungary,HU,TESSy,1
2022-05-27,Iceland,IS,EI,0
2022-05-27,Ireland,IE,TESSy,0
2022-05-27,Italy,IT,TESSy,4
2022-05-27,Latvia,LV,TESSy,0
2022-05-27,Luxembourg,LU,EI,0
2022-05-27,Malta,MT,TESSy,0
2022-05-27,Netherlands,NL,EI,0
2022-05-27,Norway,NO,TESSy,0
2022-05-27,Poland,PL,TESSy,0
2022-05-27,Portugal,PT,EI,16
2022-05-27,Romania,RO,TESSy,0
2022-05-27,Slovenia,SI,TESSy,0
2022-05-27,Spain,ES,TESSy,21
2022-05-27,Sweden,SE,TESSy,0
2022-05-28,Austria,AT,EI,0
2022-05-28,Belgium,BE,TESSy,0
2022-05-28,Czechia,CZ,TESSy,0
2022-05-28,Denmark,DK,EI,0
2022-05-28,Finland,FI,EI,0
2022-05-28,France,FR,EI,0
2022-05-28,Germany,DE,EI,0
2022-05-28,Greece,EL,TESSy,0
2022-05-28,Hungary,HU,TESSy,0
2022-05-28,Iceland,IS,EI,0
2022-05-28,Ireland,IE,TESSy,0
2022-05-28,Italy,IT,TESSy,0
2022-05-28,Latvia,LV,TESSy,0
2022-05-28,Luxembourg,LU,EI,0
2022-05-28,Malta,MT,TESSy,0
2022-05-28,Netherlands,NL,EI,0
2022-05-28,Norway,NO,TESSy,0
2022-05-28,Poland,PL,TESSy,0
